episode,timestep,reward
1729,2244000,239.9842
1731,2247000,220.8668
1733,2250000,232.9146
1735,2253000,235.8841
1738,2256000,146.2092
1740,2259000,240.6069
1743,2262000,125.2373
1745,2265000,244.3973
1747,2268000,136.4777
1750,2271000,16.3173
1752,2274000,241.6314
1754,2277000,234.4343
1758,2280000,113.2387
1760,2283000,231.72
1762,2286000,220.7914
1764,2289000,34.6098
1766,2292000,228.6428
1768,2295000,236.5358
1771,2298000,180.4142
1773,2301000,235.4562
1776,2304000,25.5942
1778,2307000,240.1817
1782,2310000,56.7002
1784,2313000,160.3837
1787,2316000,110.306
1789,2319000,225.4619
1791,2322000,232.8708
1793,2325000,231.8831
1795,2328000,246.8552
1797,2331000,249.1634
1799,2334000,126.6633
1803,2337000,107.7094
1805,2340000,240.5841
1807,2343000,237.9408
1809,2346000,90.0179
1811,2349000,216.4312
1813,2352000,178.6085
1816,2355000,170.2346
1818,2358000,230.8931
1820,2361000,164.2805
1822,2364000,238.337
1824,2367000,176.875
1827,2370000,148.9278
1829,2373000,160.0405
1833,2376000,54.0694
1835,2379000,169.3408
1838,2382000,181.2162
1840,2385000,251.5568
1842,2388000,230.8145
1844,2391000,144.962
1846,2394000,125.2087
1849,2397000,183.7265
1851,2400000,117.3904
1854,2403000,152.9248
1856,2406000,132.1853
1858,2409000,237.7616
1861,2412000,142.6866
1864,2415000,81.9219
1866,2418000,177.2836
1868,2421000,227.6168
1870,2424000,256.0232
1872,2427000,242.0773
1876,2430000,102.1088
1879,2433000,128.3404
1882,2436000,71.9566
1884,2439000,247.204
1886,2442000,254.8291
1888,2445000,228.8733
1890,2448000,191.3916
1892,2451000,249.9324
1895,2454000,80.7251
1897,2457000,225.643
1900,2460000,145.9232
1903,2463000,69.3868
1905,2466000,172.027
1907,2469000,127.5011
1909,2472000,245.7743
1912,2475000,173.1935
1914,2478000,202.1917
1916,2481000,171.7361
1918,2484000,221.5229
1920,2487000,249.6169
1923,2490000,112.2024
1925,2493000,85.9362
1927,2496000,236.6262
1930,2499000,141.6128
1932,2502000,238.3472
1934,2505000,137.8456
1937,2508000,149.315
1941,2511000,98.2163
1943,2514000,241.4116
1945,2517000,238.6975
1947,2520000,246.8034
1949,2523000,257.2207
1951,2526000,176.238
1955,2529000,37.3841
1958,2532000,131.0148
1961,2535000,153.7285
1963,2538000,84.8448
1965,2541000,253.8888
1969,2544000,96.6481
1971,2547000,40.3586
